Geographic Area Name,inc_hhlds,inc_hhlds_less_than_10_000,inc_hhlds_10_000_to_14_999,inc_hhlds_15_000_to_24_999,inc_hhlds_25_000_to_34_999,inc_hhlds_35_000_to_49_999,inc_hhlds_50_000_to_74_999,inc_hhlds_75_000_to_99_999,inc_hhlds_100_000_to_149_999,inc_hhlds_150_000_to_199_999,inc_hhlds_200_000_or_more,inc_med_hhld_inc_dol,inc_mean_hhld_inc_dol,inc_per_capita_inc_dol,inc_med_earn_workers_dol,inc_med_earn_male_full_yr_workers_dol,inc_med_earn_female_full_yr_workers_dol
"Austin County, Texas",11041,482,459,1255,927,1186,1851,1651,2150,551,529,65365,80769,30858,33993,55417,38603
"Kenedy County, Texas",209,25,4,49,13,71,16,23,8,0,0,36125,40908,15820,29453,40848,23295
"Nueces County, Texas",128926,8919,6943,13180,12922,16876,23391,16265,18198,6452,5780,55048,74820,27649,30869,48043,34488
"Colorado County, Texas",7511,386,381,894,891,1244,1345,935,678,428,329,49504,70324,27861,30469,41853,34692
"San Patricio County, Texas",23121,1699,1068,2395,2145,3055,4469,2928,3112,1483,767,55229,71588,25281,31318,50594,31847
"Rains County, Texas",4331,342,138,533,500,660,686,795,343,181,153,49872,65103,26165,33163,46382,40277
"Randall County, Texas",49187,1954,1325,3516,4822,6151,9488,7413,8695,3345,2478,67397,86352,33814,36230,54305,40771
"Real County, Texas",1227,169,83,216,147,216,174,108,64,33,17,34813,48791,21109,20392,27143,27813
"San Saba County, Texas",2104,152,151,307,237,301,425,211,164,121,35,44698,63072,24307,25782,41027,29239
"Schleicher County, Texas",1105,115,40,97,142,132,229,162,123,53,12,55677,61014,25128,30734,53676,25379
"Sterling County, Texas",462,8,15,30,49,97,144,32,59,20,8,59286,66108,28997,41786,67711,33462
"Zavala County, Texas",3509,445,482,599,434,592,500,313,129,9,6,30988,39610,13350,19020,31708,22638
"Calhoun County, Texas",7604,561,280,677,812,1111,1472,883,1204,453,151,55469,70543,26596,31759,47057,29847
"Carson County, Texas",2247,84,64,234,189,223,432,323,419,116,163,70087,84978,32917,41216,55800,40615
"Foard County, Texas",557,9,41,76,78,86,129,65,37,18,18,46354,60131,25636,23833,38977,20962
"Freestone County, Texas",6865,371,492,959,830,848,1057,756,1035,324,193,48731,67181,24083,31263,50804,31098
"Goliad County, Texas",2681,246,173,294,244,203,408,315,478,197,123,60492,76236,29918,35709,61554,39438
"Hamilton County, Texas",3108,191,267,385,379,355,548,357,394,116,116,47500,70251,28074,28403,41516,29388
"Hardeman County, Texas",1519,70,140,301,128,187,312,179,144,12,46,42238,56979,22938,22042,41901,29426
"Mitchell County, Texas",2441,48,87,441,175,479,337,343,394,22,115,49670,71553,20896,36892,42345,34250
"Briscoe County, Texas",632,47,18,118,79,90,115,69,53,28,15,42647,58155,24286,29741,37852,35139
"Lavaca County, Texas",7756,345,627,775,714,1169,1386,814,1133,377,416,53021,77669,31670,32738,47562,34030
"Terry County, Texas",4041,287,149,510,521,713,703,480,388,206,84,44975,62229,20127,25380,42368,31171
"Jeff Davis County, Texas",1050,60,56,137,111,151,241,181,87,23,3,53194,56213,26053,26656,43295,35606
"Jim Hogg County, Texas",1710,173,197,336,206,190,205,180,146,30,47,32049,51120,17798,22464,48097,22266
"Montgomery County, Texas",192823,7698,5203,13614,14507,20528,31726,25034,32753,16584,25176,77416,110807,39618,40848,64402,46428
"Dallam County, Texas",2404,74,78,283,301,459,500,251,262,118,78,51250,78602,26844,29462,45890,31543
"Webb County, Texas",73659,8833,5334,9056,8416,10141,11754,7378,8056,2498,2193,42293,59917,17326,24028,36910,28115
"Armstrong County, Texas",708,16,37,38,60,67,195,94,128,52,21,66563,79808,31075,37292,55250,40625
"Castro County, Texas",2532,148,133,247,356,499,478,306,197,116,52,45000,59313,20915,30607,37044,35971
"Kleberg County, Texas",10946,1647,669,1436,928,1720,1454,1165,1241,399,287,42021,58413,21986,24008,49596,30959
"Willacy County, Texas",5810,972,677,892,608,763,816,510,379,127,66,29944,45647,14207,19472,33306,25991
"Crosby County, Texas",2044,218,151,288,292,363,324,210,128,30,40,37899,50926,19155,23740,35793,26250
"Fisher County, Texas",1649,132,136,144,229,256,292,154,242,33,31,46827,64120,28355,30858,45313,33750
"Duval County, Texas",3511,428,299,564,374,498,626,327,225,84,86,37382,50374,17864,22225,43637,24217
"Blanco County, Texas",4297,167,151,401,353,657,851,465,699,268,285,63071,85285,34925,29346,47961,34068
"Jasper County, Texas",12583,776,882,1818,1495,1692,2065,1584,1547,335,389,46088,64734,25004,31429,57370,30417
"Kinney County, Texas",1170,84,82,305,173,123,114,121,144,15,9,31468,49372,20323,30444,41530,35125
"Deaf Smith County, Texas",6139,332,415,471,686,1072,1125,900,871,141,126,51841,63376,21515,30389,45189,30660
"Galveston County, Texas",119181,7129,4770,10383,9872,12982,18276,13461,20241,10546,11521,69369,95026,35448,37876,64771,47458
"La Salle County, Texas",2216,152,249,227,89,315,677,157,82,147,121,51792,79335,25129,23943,38947,28830
"Roberts County, Texas",311,9,3,26,25,38,60,40,54,44,12,73854,88939,31632,31406,73750,31250
"Tyler County, Texas",7020,510,553,889,853,975,1267,880,806,204,83,43936,57233,20439,31179,52351,32454
"Wheeler County, Texas",2254,143,168,239,231,360,349,339,256,118,51,49352,65686,26844,30885,47174,32273
"Bowie County, Texas",33731,3254,2119,3718,3703,4815,5944,3927,3732,1289,1230,47505,67304,25355,30728,46748,31783
"Brewster County, Texas",3942,411,196,427,406,900,452,436,436,180,98,43894,60719,27227,26960,43527,35940
"Kent County, Texas",318,12,43,32,41,48,47,18,42,3,32,45926,68737,29503,36875,49773,40000
"Smith County, Texas",77195,5369,3712,8292,7560,11243,14111,9405,10296,3522,3685,53511,73922,27141,30147,46121,35502
"Crockett County, Texas",1388,108,89,194,85,153,336,84,266,67,6,51152,63225,24852,33403,43162,27227
"Hardin County, Texas",20385,1552,1262,1800,1886,2182,3641,2387,3484,1233,958,59105,77772,29108,38827,58674,35973
"Howard County, Texas",11036,882,574,960,1420,1509,1966,1470,1541,324,390,51528,71173,23784,26963,48796,29020
"Leon County, Texas",6249,349,367,789,908,828,892,699,743,293,381,44818,80589,32130,30530,53154,30528
"Montague County, Texas",7995,577,388,868,830,1040,1642,991,1004,381,274,51774,68340,28457,31811,54199,30751
"Panola County, Texas",8827,732,452,1045,894,1042,1858,1071,1050,352,331,51569,67548,26403,30198,51276,30203
"Erath County, Texas",13961,1656,639,1395,1559,1947,2491,1410,1716,744,404,48819,67961,25290,23053,42103,32345
"Brazoria County, Texas",118762,5192,4020,7424,8635,11253,20118,17046,23348,11298,10428,79270,97877,33547,43466,63626,47711
"Motley County, Texas",465,40,16,66,75,60,90,53,39,6,20,43750,62145,26103,24483,33750,40139
"Donley County, Texas",1290,98,77,151,166,233,214,154,130,44,23,43224,57942,23711,25236,46944,29677
"Atascosa County, Texas",15387,1014,484,1771,1676,1941,3068,1887,2088,836,622,55265,73390,24421,27043,46273,29942
"Coleman County, Texas",3460,312,145,501,366,697,642,313,238,70,176,43981,64448,27842,31159,41204,29188
"Nolan County, Texas",5469,401,302,845,648,772,894,699,589,161,158,44346,66804,25820,26882,46875,30213
"Hudspeth County, Texas",900,143,101,123,133,191,99,33,43,17,17,29318,45074,14190,18147,26940,21827
"Medina County, Texas",15470,1104,827,1194,1511,1600,3101,1769,2669,981,714,61059,78044,26274,30122,46881,36149
"Ward County, Texas",3956,314,207,378,268,407,715,722,563,199,183,64630,75278,26570,39173,60592,36077
"Henderson County, Texas",30885,2229,1973,3825,3907,4579,5413,3813,3081,1190,875,45798,64314,25280,27732,43754,32546
"Harrison County, Texas",23217,1795,1204,2325,2785,3186,3908,3554,2833,958,669,51202,68884,25418,30864,50660,33857
"Menard County, Texas",992,81,86,216,72,156,127,147,63,38,6,40606,51494,25067,24932,34269,25909
"Lamar County, Texas",19313,2147,1202,2209,2341,2828,3374,2168,1949,676,419,43562,59148,23833,28920,47543,31120
"Fayette County, Texas",9067,539,660,885,830,1244,1700,1176,1134,344,555,56297,76017,30097,31230,45089,30297
"Williamson County, Texas",174754,4443,3458,8449,11907,18565,31234,26315,37620,17413,15350,83679,101648,35825,41219,61035,45919
"Polk County, Texas",17803,1422,1193,2036,2218,2556,3304,1808,1875,691,700,46182,63446,24686,27868,45098,31397
"Refugio County, Texas",2577,189,245,254,299,337,596,250,291,72,44,48112,59434,23810,26053,41603,33363
"Caldwell County, Texas",13225,1002,611,1210,1415,2010,2634,1766,1631,529,417,52278,69537,23881,28604,39793,33974
"Wilbarger County, Texas",5263,268,444,693,577,702,1057,761,474,184,103,48773,59930,24078,27337,40755,28676
"Reagan County, Texas",1147,72,21,98,88,126,215,179,281,33,34,70478,75412,25397,40210,55625,36204
"Hale County, Texas",11146,969,584,1250,1286,1958,2302,1431,965,239,162,47080,56831,19854,28851,41728,32002
"Shelby County, Texas",9292,1056,577,1305,1133,1455,1791,628,957,147,243,40764,54312,20969,27438,40960,31363
"Runnels County, Texas",3749,303,173,550,523,636,602,320,422,143,77,41732,58250,23042,30129,40562,30662
"San Jacinto County, Texas",9487,539,632,1316,1315,1421,1758,1074,937,301,194,44658,59016,21808,26261,42038,31342
"Tom Green County, Texas",43131,2546,1861,4934,5212,6510,7870,5313,5195,1869,1821,51675,72478,28444,29332,42988,31676
"Victoria County, Texas",32544,2136,1419,3373,3186,4571,5468,4116,5058,1720,1497,55631,76886,28576,30793,51404,32818
"Waller County, Texas",14807,802,647,1616,1514,2026,2438,1767,2287,818,892,57654,78075,24495,27024,44726,32173
"Wichita County, Texas",47951,4588,3033,5502,5178,7199,8601,5750,5364,1583,1153,46575,62083,23921,25985,41341,31862
"Wilson County, Texas",15820,685,547,1185,1396,1627,2649,2506,3089,1061,1075,72445,89915,30935,36950,57074,43634
"Hockley County, Texas",7946,408,431,1003,933,1357,1411,949,913,268,273,48116,65147,23440,28465,47456,33347
"Maverick County, Texas",16307,1715,1607,2630,1748,2015,2589,1955,1250,551,247,38035,54137,16891,21905,42442,23796
"Midland County, Texas",55980,1822,1713,3641,4305,5805,9363,7701,10428,4836,6366,78888,109874,39179,42172,64365,42259
"Live Oak County, Texas",3675,151,305,381,424,383,885,316,548,155,127,55766,67552,24244,29286,49242,39518
"Llano County, Texas",8491,483,461,844,1059,1192,1478,995,1056,427,496,52178,82567,35822,23514,42361,36338
"Fannin County, Texas",12231,1005,577,1289,1342,1796,2239,1604,1525,466,388,50761,65077,24581,30940,50000,36165
"Karnes County, Texas",4246,389,257,423,501,462,720,484,460,221,329,52252,83800,26875,33956,44872,34310
"Brazos County, Texas",79053,9557,4364,8937,8310,10293,11863,8810,9410,3522,3987,46839,70257,26539,23430,45944,36787
"Cass County, Texas",11789,1060,695,1466,1522,1829,2075,1316,1298,295,233,45345,56515,22545,31162,41784,29961
"Gaines County, Texas",5737,444,175,538,668,686,999,857,815,318,237,59032,74857,22710,32571,49333,27473
"Gray County, Texas",8000,538,341,1279,1029,919,1399,904,1025,284,282,47170,66873,24911,30902,48117,31497
"Madison County, Texas",4201,276,265,530,579,472,808,315,676,170,110,49428,65516,17856,26016,46455,26530
"Jack County, Texas",3160,212,143,423,384,350,644,320,443,104,137,51700,68400,25626,32456,56388,34067
"Kendall County, Texas",14159,527,307,639,1205,1303,2435,1876,2587,1281,1999,82390,120877,43241,37021,64886,45371
"Bosque County, Texas",7088,326,336,858,802,1144,1428,883,879,223,209,50882,65377,26039,27515,42188,35702
"Bexar County, Texas",632574,45419,29186,62202,63892,84130,118346,79146,87038,31270,31945,55456,76006,26988,30196,43005,37258
"Bailey County, Texas",2111,119,109,174,393,381,322,251,201,110,51,46485,62434,21449,28543,40411,28184
"Baylor County, Texas",1474,78,144,156,249,221,177,202,161,25,61,40750,60098,25264,28344,41719,34821
"Cameron County, Texas",123185,15581,10253,18048,15287,16034,19950,11427,10744,3505,2356,37132,53211,16587,22122,32335,27248
"Denton County, Texas",283250,10133,5902,15106,18475,30850,46764,37790,56131,29352,32747,83376,108579,39535,41981,64216,49842
"Washington County, Texas",12381,789,647,1343,1323,1479,2512,1612,1474,494,708,56237,76880,29604,30473,45341,32154
"Morris County, Texas",5048,384,340,627,654,960,854,537,493,133,66,42961,56797,23438,27764,40670,30141
"Stephens County, Texas",3268,295,258,282,400,669,509,297,331,107,120,45336,62311,24405,28803,49848,32279
"Harris County, Texas",1583486,96861,64276,148086,154564,201347,277335,185201,224530,98609,132677,60146,89270,31901,33173,49579,41028
"Andrews County, Texas",5508,302,171,291,525,686,841,728,1214,398,352,74233,94962,31190,40478,72970,35194
"Gillespie County, Texas",10717,520,492,1171,1191,1299,2140,1105,1615,505,679,58325,80569,33515,25433,47274,36044
"Gonzales County, Texas",7214,392,438,796,865,913,1534,833,794,345,304,53006,73239,26618,30835,40978,31465
"Lynn County, Texas",2133,184,184,283,202,339,290,171,300,66,114,43524,66719,25279,28134,40344,31563
"Young County, Texas",7105,414,324,757,876,1325,1272,768,1066,172,131,47194,64653,25855,30734,49142,27542
"Zapata County, Texas",4405,714,275,700,720,690,504,427,215,78,82,31113,52009,17228,18938,36461,24946
"Hood County, Texas",21969,1247,851,2192,2024,3175,3842,2473,3528,1469,1168,59049,80447,32727,35806,52808,37651
"Hopkins County, Texas",13405,881,654,1529,1665,1695,2775,1562,1577,567,500,51877,69253,26267,29824,47254,31592
"Ochiltree County, Texas",3443,144,146,426,471,538,629,409,428,111,141,49928,70352,24260,27691,51412,24735
"King County, Texas",91,0,3,0,13,24,15,13,18,0,5,65125,75557,31564,36964,42250,32250
"Knox County, Texas",1330,115,55,181,191,167,214,205,153,31,18,46146,57553,21796,29537,43333,37692
"McLennan County, Texas",89034,8072,4770,10774,10095,12112,15229,9979,11162,3631,3210,48199,66650,24826,26472,42600,33357
"Cherokee County, Texas",17940,1188,1153,2366,2010,2934,3537,1808,1722,829,393,46044,60376,21520,27466,40581,33459
"Concho County, Texas",873,66,67,128,116,93,175,63,126,13,26,43355,61808,17684,23994,33772,20735
"Delta County, Texas",2015,158,134,170,309,289,298,281,229,85,62,46138,63240,25004,27575,52143,36349
"Edwards County, Texas",686,68,50,93,107,52,140,71,44,24,37,40313,62107,29814,21774,35163,33487
