county_state,race_pop,race_pop_hispanic_or_latino_(of_any_race),race_pop_white_alone,race_pop_black_or_african_american_alone,race_pop_american_indian_and_alaska_native_alone,race_pop_asian_alone,race_pop_native_hawaiian_and_other_pacific_islander_alone,race_pop_some_other_race_alone,race_pop_two_or_more_races,sex_age_pop,sex_age_pop_male,sex_age_pop_female,sex_age_pop_under_5,sex_age_pop_5_to_9,sex_age_pop_10_to_14,sex_age_pop_15_to_19,sex_age_pop_20_to_24,sex_age_pop_25_to_34,sex_age_pop_35_to_44,sex_age_pop_45_to_54,sex_age_pop_55_to_59,sex_age_pop_60_to_64,sex_age_pop_65_to_74,sex_age_pop_75_to_84,sex_age_pop_85_and_over,sex_age_median_age_in_years,sq_mi,pop_density
"Austin County, Texas",29565,7819,18525,2576,48,89,0,52,456,29565,14684,14881,1780,1960,2118,1861,1712,3339,3275,3821,2327,1978,3243,1532,619,40.7,646.492,45.731424364106594
"Kenedy County, Texas",595,522,72,0,0,1,0,0,0,595,286,309,85,37,40,10,10,95,47,75,51,9,85,29,22,39.5,1458.453,0.40796652343270573
"Nueces County, Texas",360486,228462,107652,13071,919,7134,242,226,2780,360486,178020,182466,24665,25055,24806,25524,26397,52547,45030,43503,22563,21051,28881,15165,5299,35.3,838.316,430.0120718201728
"Colorado County, Texas",21022,6200,11855,2655,27,7,0,0,278,21022,10538,10484,1363,1288,1493,1397,1145,2054,2233,2440,1280,1866,2467,1356,640,42.5,960.284,21.89144044886721
"San Patricio County, Texas",67046,38483,26032,1003,101,671,30,7,719,67046,33721,33325,4947,4887,5259,4824,4393,8923,8328,8078,4417,3367,5759,2935,929,35.3,693.436,96.68664447764465
"Rains County, Texas",11473,1019,9814,322,69,8,0,0,241,11473,5868,5605,566,652,697,578,507,1126,1243,1429,1088,766,1764,917,140,48.3,229.453,50.00152536685073
"Randall County, Texas",132475,27678,96014,3726,410,2162,64,72,2349,132475,65083,67392,8654,9438,8475,9750,9207,19349,16814,15641,8242,7991,11020,5821,2073,35.6,911.926,145.26946265376796
"Real County, Texas",3389,672,2709,5,0,2,0,0,1,3389,1426,1963,228,193,121,217,190,252,260,234,301,276,529,476,112,55.0,699.159,4.847252198713026
"San Saba County, Texas",5962,1790,3846,134,0,3,0,0,189,5962,3073,2889,315,239,455,273,441,760,769,594,376,398,746,475,121,40.7,1135.313,5.251415248482136
"Schleicher County, Texas",3061,1603,1444,13,0,0,0,0,1,3061,1542,1519,187,252,273,174,174,471,290,344,187,224,281,147,57,35.0,1310.642,2.3354966497334892
"Sterling County, Texas",1141,516,606,3,0,0,0,0,16,1141,622,519,69,109,63,94,24,106,109,205,157,46,100,41,18,44.9,923.449,1.2355852894962256
"Zavala County, Texas",12131,11372,602,60,0,4,0,0,93,12131,6208,5923,925,1115,977,783,1182,1479,1420,1354,666,565,954,543,168,32.9,1297.407,9.350188491352368
"Calhoun County, Texas",21807,10564,9314,528,3,998,17,0,383,21807,11062,10745,1488,1533,1503,1580,1228,2795,2530,2732,1646,1103,2076,1041,552,37.7,506.839,43.025497248633194
"Carson County, Texas",6032,600,5186,78,79,31,0,0,58,6032,2820,3212,365,435,455,465,280,704,706,739,431,395,596,336,125,40.3,920.235,6.5548474031089885
"Foard County, Texas",1408,288,1095,25,0,0,0,0,0,1408,712,696,62,65,87,100,47,87,181,214,104,82,162,160,57,49.3,704.3969999999998,1.9988727947450093
"Freestone County, Texas",19709,2984,13225,3103,12,113,0,0,272,19709,10163,9546,1153,1358,1204,1188,952,2634,2473,2348,1413,1199,2132,1238,417,40.4,877.7310000000001,22.454487764474536
"Goliad County, Texas",7531,2699,4396,372,0,43,0,0,21,7531,3734,3797,312,526,530,395,511,672,756,994,684,536,841,683,91,46.0,852.0110000000002,8.83908775825664
"Hamilton County, Texas",8269,1019,7004,42,62,24,0,0,118,8269,4070,4199,469,502,454,513,406,832,893,929,641,548,1050,599,433,46.0,835.915,9.892154106577822
"Hardeman County, Texas",3952,851,2693,271,41,0,0,0,96,3952,1938,2014,196,291,307,199,237,465,401,530,225,302,457,219,123,42.4,695.1139999999998,5.685398366311139
"Mitchell County, Texas",8558,3381,4159,847,53,30,0,0,88,8558,5383,3175,446,474,401,486,982,1619,1153,927,434,338,639,443,216,34.1,911.09,9.393144475298817
"Briscoe County, Texas",1546,545,885,38,0,0,17,0,61,1546,831,715,82,67,74,93,134,150,149,215,118,100,182,149,33,46.3,900.0010000000002,1.7177758691379228
"Lavaca County, Texas",19941,3694,14734,1255,9,71,0,2,176,19941,9684,10257,1189,1405,1388,1193,1034,2062,1939,2394,1318,1470,2356,1483,710,43.5,969.709,20.56390112910162
"Terry County, Texas",12615,6859,5071,584,28,0,0,0,73,12615,6515,6100,1008,1006,928,913,731,1824,1406,1500,724,654,1063,642,216,34.7,888.8389999999998,14.192671563691516
"Jeff Davis County, Texas",2234,727,1422,18,0,51,0,0,16,2234,1114,1120,61,108,160,142,57,138,202,251,177,232,541,131,34,54.8,2264.556,0.9865068472583588
"Jim Hogg County, Texas",5282,4890,371,2,0,0,0,0,19,5282,2550,2732,412,366,514,539,303,525,569,398,350,374,522,328,82,34.7,1136.173,4.648939906158657
"Montgomery County, Texas",554445,131147,370662,25296,805,15610,299,684,9942,554445,274604,279841,37835,41459,42853,38640,32889,70249,76216,76447,37260,31124,43917,18995,6561,36.9,1042.623,531.7789843500478
"Dallam County, Texas",7243,3260,3655,63,85,107,0,0,73,7243,3795,3448,692,634,663,581,294,1143,680,1027,454,324,422,255,74,31.6,1503.132,4.818605418552728
"Webb County, Texas",272053,259797,9513,780,118,1295,33,132,385,272053,132906,139147,26546,23862,25976,24233,21883,36453,35572,30398,12160,10584,14333,6922,3131,28.6,3361.478,80.93255407294053
"Armstrong County, Texas",1916,131,1737,7,29,0,0,0,12,1916,960,956,121,94,106,100,82,197,206,271,209,130,232,111,57,46.3,909.109,2.107558059594614
"Castro County, Texas",7787,5003,2523,70,11,92,1,4,83,7787,3905,3882,604,765,574,595,532,785,963,856,477,485,678,324,149,35.3,894.444,8.70596705886562
"Kleberg County, Texas",31425,22849,6419,907,16,695,0,64,475,31425,16052,15373,2222,2295,1915,2953,4777,4366,3270,2828,1301,1461,2274,1283,480,28.0,881.306,35.65730858521331
"Willacy County, Texas",21754,19170,2412,129,2,0,0,0,41,21754,11681,10073,1398,1390,1621,1734,2011,3260,3018,2266,1028,1122,1612,981,313,33.6,590.591,36.834289719958484
"Crosby County, Texas",5861,3261,2330,210,0,14,0,3,43,5861,2921,2940,400,393,534,454,327,643,725,580,391,356,560,374,124,38.1,900.199,6.51078261584383
"Fisher County, Texas",3883,1185,2492,114,0,23,5,0,64,3883,1879,2004,262,183,206,256,258,393,431,455,269,278,488,316,88,44.4,898.951,4.319479037233397
"Duval County, Texas",11355,10135,1028,191,0,0,0,1,0,11355,5758,5597,813,709,1016,633,930,1433,1297,1278,903,318,1101,709,215,36.1,1793.477,6.33127717835244
"Blanco County, Texas",11279,2173,8712,2,0,165,39,0,188,11279,5781,5498,461,572,605,685,493,854,1266,1565,1075,1006,1706,779,212,49.9,709.25,15.902714134649278
"Jasper County, Texas",35504,2360,26471,5833,62,157,26,97,498,35504,17501,18003,2119,2373,2648,2238,2179,3772,3960,4620,2600,2265,3996,1867,867,40.9,938.655,37.82433375414822
"Kinney County, Texas",3675,2297,1375,3,0,0,0,0,0,3675,2290,1385,87,152,283,190,216,579,391,502,346,178,501,122,128,41.7,1360.055,2.7020966063872414
"Deaf Smith County, Texas",18899,13659,4781,144,48,103,16,18,130,18899,9507,9392,1663,1579,1746,1510,1301,2372,2314,2075,1100,923,1279,735,302,32.0,1496.822,12.62608379620289
"Galveston County, Texas",327089,79406,188666,40398,747,10621,203,348,6700,327089,161269,165820,21173,21795,23438,22157,19905,43687,42869,44116,23589,20096,27241,12627,4396,37.5,378.937,863.1751452088341
"La Salle County, Texas",7409,6104,1125,94,0,12,0,0,74,7409,4408,3001,508,532,287,418,605,1499,887,985,363,291,665,331,38,33.8,1486.704,4.983507140627859
"Roberts County, Texas",885,123,726,0,0,8,0,0,28,885,401,484,32,50,109,99,28,83,89,95,55,45,99,83,18,38.0,924.058,0.9577320904099094
"Tyler County, Texas",21496,1621,17043,2411,12,60,0,9,340,21496,11738,9758,1069,1131,1143,1408,1624,2681,2330,2446,1581,1473,2636,1468,506,42.7,924.39,23.25425415679529
"Wheeler County, Texas",5482,1448,3740,142,13,5,17,0,117,5482,2844,2638,382,438,392,305,253,783,602,583,429,300,578,285,152,39.0,914.523,5.994381770606097
"Bowie County, Texas",93858,7098,60017,22765,822,997,17,49,2093,93858,47275,46583,6060,6076,6476,5542,6215,12531,12537,11786,6160,5483,8611,4656,1725,38.1,885.002,106.05399761808448
"Brewster County, Texas",9216,4099,4722,21,168,111,0,16,79,9216,4558,4658,487,507,529,418,543,1160,1223,1020,628,714,1215,619,153,43.3,6183.762,1.4903549004635044
"Kent County, Texas",749,122,613,8,6,0,0,0,0,749,327,422,33,53,34,61,12,41,79,90,65,54,146,59,22,51.8,902.507,0.829910460528284
"Smith County, Texas",225015,43377,134889,38735,725,3865,299,315,2810,225015,108730,116285,15496,15209,15695,15854,16210,30117,26582,26915,13952,13314,20158,11658,3855,36.6,921.473,244.1905514323263
"Crockett County, Texas",3633,2306,1295,32,0,0,0,0,0,3633,1771,1862,303,321,209,305,96,528,364,513,112,343,336,163,40,35.9,2807.324,1.2941149649986963
"Hardin County, Texas",56379,3142,48896,3169,110,326,0,76,660,56379,27342,29037,3739,3620,4188,3784,3256,6855,7194,7149,3961,3438,5602,2691,902,39.0,890.587,63.305437874121225
"Howard County, Texas",36667,15394,18015,2027,259,299,10,21,642,36667,20732,15935,2309,2132,2324,2260,2672,5608,5178,5267,2389,1932,2551,1504,541,36.6,900.791,40.7053356438952
"Leon County, Texas",17098,2457,13048,1174,85,136,52,0,146,17098,8602,8496,1075,1143,1039,1039,777,1680,1789,1938,1255,1276,2351,1208,528,45.0,1073.156,15.932445981758478
"Montague County, Texas",19409,2111,16694,120,32,0,0,0,452,19409,9403,10006,1108,1305,1328,1083,1039,2096,2019,2529,1295,1378,2426,1360,443,43.4,930.906,20.849580945874237
"Panola County, Texas",23440,2013,17184,4023,29,21,0,0,170,23440,11498,11942,1430,1282,1903,1628,1412,2675,2890,2688,1596,1710,2393,1361,472,39.3,811.355,28.889943366343953
"Erath County, Texas",41482,8671,31082,674,213,312,21,9,500,41482,20216,21266,2449,2551,2356,4548,5919,5055,4174,4327,2300,2085,3324,1612,782,30.0,1083.178,38.296568061759004
"Brazoria County, Texas",353999,106731,170322,47228,1013,22670,21,595,5419,353999,179060,174939,25013,27824,25997,23891,21058,49737,51803,47776,22350,18570,24779,11542,3659,35.6,1362.305,259.8529697828313
"Motley County, Texas",1156,224,861,19,0,0,0,11,41,1156,580,576,58,132,71,75,29,195,55,99,61,43,221,90,27,38.3,989.566,1.1681888828031681
"Donley County, Texas",3387,373,2749,166,13,14,0,0,72,3387,1634,1753,162,195,244,278,251,326,322,368,226,226,427,287,75,41.6,926.906,3.65409221647071
"Atascosa County, Texas",48828,31200,16541,124,29,152,0,12,770,48828,24398,24430,3584,3628,4029,3633,3038,6308,6070,5901,2874,2842,4094,2090,737,35.4,1219.5410000000004,40.03801430210217
"Coleman County, Texas",8391,1465,6463,254,39,79,0,0,91,8391,4220,4171,504,539,517,385,305,989,822,985,718,617,1120,748,142,46.5,1262.914,6.64415787614992
"Nolan County, Texas",14966,5527,8432,743,70,66,0,0,128,14966,7669,7297,1094,1183,1002,1164,910,1591,1650,1682,1111,926,1491,837,325,38.5,911.997,16.410141700027523
"Hudspeth County, Texas",4098,3212,720,49,0,74,0,0,43,4098,2019,2079,207,362,280,235,274,648,347,508,334,264,385,213,41,37.6,4570.525,0.8966147215035473
"Medina County, Texas",49334,25470,21679,1157,99,356,11,0,562,49334,25551,23783,2891,3061,3442,3492,3486,6103,5643,6687,3387,3198,4795,2163,986,39.3,1325.359,37.22312218802604
"Ward County, Texas",11586,6131,4724,533,55,67,0,0,76,11586,5864,5722,848,908,902,822,872,1618,1410,1315,650,645,894,523,179,33.2,835.6030000000002,13.865436098242823
"Henderson County, Texas",80460,10072,63153,5080,568,530,37,32,988,80460,39097,41363,4537,4681,5081,5230,4356,8568,8690,10190,5983,5744,9977,5700,1723,43.9,873.773,92.08341296881456
"Harrison County, Texas",66645,8627,42414,14084,188,489,15,43,785,66645,32556,34089,4354,4977,4720,4844,3991,7842,8124,8253,4591,4269,6439,2959,1282,37.9,899.956,74.05362039921951
"Menard County, Texas",2123,728,1319,14,12,0,0,0,50,2123,1117,1006,26,140,117,69,55,298,177,352,161,164,327,174,63,49.1,902.027,2.3535880855007667
"Lamar County, Texas",49532,3804,37005,6135,194,429,111,19,1835,49532,23917,25615,3327,2989,3421,3276,2843,5932,5656,6370,3259,3232,5256,3069,902,40.8,907.181,54.59990894871034
"Fayette County, Texas",25066,5212,17917,1592,13,119,0,0,213,25066,12351,12715,1256,1533,1540,1391,1320,2317,2618,3037,2150,1881,3277,1970,776,47.0,949.87,26.388874267004958
"Williamson County, Texas",527057,128133,316640,31855,866,33636,366,1198,14363,527057,259443,267614,35305,39362,40653,36058,29157,73635,85938,71680,28654,25929,38120,16238,6328,36.1,1118.338,471.28596184695505
"Polk County, Texas",47837,7193,33877,4850,693,313,62,31,818,47837,25878,21959,2588,2638,2878,2707,2692,5478,5747,6363,3823,4015,5968,2196,744,43.6,1057.045,45.255405399013284
"Refugio County, Texas",7236,3631,3028,400,5,14,0,0,158,7236,3586,3650,470,438,501,569,358,753,751,889,524,433,874,463,213,41.9,770.4839999999998,9.391499369227656
"Caldwell County, Texas",41401,21312,16686,2425,136,401,26,0,415,41401,20893,20508,2577,2943,2606,3361,3419,5517,5119,5109,2834,2354,3347,1490,725,35.4,545.234,75.9325353884754
"Wilbarger County, Texas",12906,3739,7583,1221,78,90,0,27,168,12906,6347,6559,673,742,917,991,661,1865,1498,1486,1039,740,1329,767,198,37.8,970.946,13.292191326809112
"Reagan County, Texas",3752,2652,1064,27,0,0,0,0,9,3752,1951,1801,264,397,314,272,222,559,552,375,240,207,169,99,82,31.4,1175.314,3.192338387869114
"Hale County, Texas",34113,20153,11669,1486,10,104,7,22,662,34113,17751,16362,2392,2344,3045,2761,2678,4698,3986,4047,2033,1637,2418,1342,732,33.1,1004.68,33.95409483616674
"Shelby County, Texas",25478,4605,15729,4576,39,415,0,35,79,25478,12572,12906,1781,1962,1917,1893,1605,2874,2922,3023,1669,1541,2393,1466,432,37.2,795.5889999999998,32.024072731020674
"Runnels County, Texas",10310,3495,6368,317,16,25,0,6,83,10310,5233,5077,573,631,786,672,680,1047,1159,1234,661,740,1132,700,295,40.8,1051.07,9.809051728238844
"San Jacinto County, Texas",27819,3563,20779,2846,134,0,13,0,484,27819,13718,14101,1542,1535,2038,1527,1398,2830,3153,3433,2133,2116,3873,1835,406,44.7,569.243,48.87016616805125
"Tom Green County, Texas",117466,46319,63195,4702,248,1349,50,114,1489,117466,58343,59123,8045,7575,8016,8791,9913,18429,12895,12734,7307,6300,9808,5225,2428,33.9,1522.001,77.17866151204895
"Victoria County, Texas",91970,42733,41428,5205,155,1001,0,165,1283,91970,44999,46971,6568,6371,6729,6326,6150,12754,10914,10734,5638,5615,8163,3963,2045,35.7,882.1060000000001,104.26184608199013
"Waller County, Texas",49987,14903,21571,12222,31,428,24,48,760,49987,24869,25118,3371,3804,3205,5399,6604,5834,5034,5509,2916,2554,3697,1531,529,29.0,513.337,97.37657718029287
"Wichita County, Texas",131818,24818,86518,13116,922,2732,59,450,3203,131818,68325,63493,8617,8564,7984,10463,11987,19733,15035,14923,8612,7224,10103,5966,2607,34.3,627.594,210.03706217713997
"Wilson County, Texas",48198,18995,27657,642,53,188,44,56,563,48198,24197,24001,2862,3042,3621,3489,2757,5428,5914,7037,3650,3169,4397,1782,1050,40.2,803.735,59.96752661013891
"Hockley County, Texas",23162,10970,10948,769,141,72,17,28,217,23162,11428,11734,1558,1671,1822,1979,1778,3093,2659,2643,1487,1280,1809,923,460,33.5,908.392,25.497802710724002
"Maverick County, Texas",57970,55206,1439,236,652,269,32,136,0,57970,28736,29234,5540,4796,4904,5194,4930,7450,6951,6309,2718,2582,3772,2245,579,29.6,1279.472,45.30775194767842
"Midland County, Texas",164194,72325,75960,9934,677,3316,72,100,1810,164194,82543,81651,14261,13180,12007,10706,11559,28956,20904,17789,9523,8516,9254,5172,2367,31.7,900.2539999999998,182.38630430967265
"Live Oak County, Texas",12123,4782,6847,336,0,117,0,0,41,12123,6634,5489,655,539,807,767,568,1783,1531,1396,814,840,1372,757,294,42.2,1039.695,11.66015033254945
"Llano County, Texas",20640,2113,17880,26,28,82,0,0,511,20640,10138,10502,796,886,811,715,870,1804,1431,2432,1363,2114,3982,2674,762,57.6,934.052,22.09727081575758
"Fannin County, Texas",34175,3752,27018,2133,169,242,13,3,845,34175,18034,16141,1722,1973,2259,2038,2131,4166,4038,4832,2381,2190,3623,1948,874,41.9,890.835,38.362884260272665
"Karnes County, Texas",15387,8304,5645,1218,32,14,0,0,174,15387,9133,6254,852,999,881,1167,1008,2859,2028,1723,920,800,1105,705,340,34.7,747.497,20.584697998787956
"Brazos County, Texas",219193,55519,122867,22279,211,13706,46,296,4269,219193,111074,108119,13546,11996,12633,21795,43936,35033,23625,19887,9539,8296,11177,5609,2121,26.2,585.513,374.36060343664445
"Cass County, Texas",30087,1335,22983,5177,10,110,1,6,465,30087,14692,15395,1482,1958,2162,1926,1420,3156,3314,3927,2148,2120,3653,2048,773,43.4,936.957,32.11139892225577
"Gaines County, Texas",20321,8375,11299,391,93,95,13,44,11,20321,10320,10001,2190,1848,2152,1761,1228,2856,2395,2205,1117,804,972,545,248,27.9,1502.364,13.52601633159474
"Gray County, Texas",22685,6465,14504,1007,181,153,19,0,356,22685,11903,10782,1641,1631,1617,1273,1414,3119,3021,2783,1538,1080,1862,1133,573,36.6,925.974,24.498528036424347
"Madison County, Texas",14128,3230,7815,2111,27,441,26,14,464,14128,8127,6001,648,978,948,565,1300,2721,1889,1597,608,812,1102,742,218,34.7,466.065,30.313368306995805
"Jack County, Texas",8842,1465,6854,415,23,12,0,11,62,8842,4987,3855,493,449,577,647,603,1157,1171,1180,557,504,863,468,173,39.7,910.94,9.70645706632709
"Kendall County, Texas",41982,9894,30601,286,31,369,25,0,776,41982,20415,21567,2138,2599,3124,3123,2249,3936,5123,5786,3238,2772,4557,2356,981,42.1,662.454,63.373456873986726
"Bosque County, Texas",18122,3263,14167,280,59,92,0,0,261,18122,8935,9187,970,929,1294,1065,875,1725,1833,2292,1430,1281,2525,1377,526,46.7,982.981,18.435758168265714
"Bexar County, Texas",1925865,1155505,539435,136411,2863,52513,1589,2655,34894,1925865,950030,975835,138622,138871,139171,139336,145695,305358,258061,234677,108990,93279,132567,65095,26143,33.4,1240.215,1552.8476917308694
"Bailey County, Texas",7092,4558,2346,46,72,70,0,0,0,7092,3640,3452,491,655,408,550,581,940,926,715,366,460,494,416,90,33.5,826.972,8.575864720933719
"Baylor County, Texas",3591,370,3050,112,0,0,0,0,59,3591,1752,1839,178,264,208,176,236,272,354,467,348,216,438,335,99,47.3,867.4810000000001,4.139571932987581
"Cameron County, Texas",421750,377439,38334,1673,543,2786,38,272,665,421750,204788,216962,35652,35812,36879,36264,31611,51385,52290,47020,21969,18687,30250,17532,6399,31.5,891.049,473.31852681502363
"Denton County, Texas",807047,155047,484341,74946,2730,66371,620,1354,21638,807047,397140,409907,52426,58124,59211,57237,53864,120505,125021,117565,49599,36830,50328,20174,6163,35.2,878.6010000000001,918.5591639435875
"Washington County, Texas",34796,5483,22364,5771,79,591,36,0,472,34796,17259,17537,2133,1924,2344,3063,2145,3348,3752,4018,2282,2548,3892,2112,1235,41.6,604.184,57.59172702355574
"Morris County, Texas",12424,1176,8046,2927,75,17,6,0,177,12424,5981,6443,708,814,852,745,632,1382,1491,1372,868,921,1397,891,351,43.0,251.989,49.3037394489442
"Stephens County, Texas",9372,2199,6709,222,66,38,0,26,112,9372,4808,4564,479,700,552,730,489,1354,963,1049,603,660,975,498,320,38.6,896.721,10.451411308534093
"Harris County, Texas",4602523,1958963,1384032,855008,8147,317911,2456,10431,65575,4602523,2288295,2314228,352799,346412,342994,315136,321813,747301,657407,576550,261843,227941,282371,123989,45967,33.3,1705.203,2699.105619682818
"Andrews County, Texas",17818,9979,7215,321,0,63,21,0,219,17818,9102,8716,1551,1634,1449,1461,1113,2680,2193,2134,899,861,1043,563,237,31.2,1500.721,11.872959730689448
"Gillespie County, Texas",26208,6006,19653,19,7,42,0,34,447,26208,12731,13477,1302,1298,1622,1551,1180,2124,2609,2872,1763,2276,3920,2599,1092,50.3,1058.198,24.766631575565253
"Gonzales County, Texas",20667,10436,8667,1356,17,52,4,0,135,20667,10448,10219,1507,1569,1599,1389,1315,2470,2265,2523,1491,1207,1903,1055,374,36.5,1066.686,19.374961328825915
"Lynn County, Texas",5808,2751,2852,61,21,43,4,0,76,5808,2977,2831,393,480,434,406,290,692,690,716,361,368,519,364,95,38.2,891.867,6.512181749072452
"Young County, Texas",18114,3332,14176,354,112,89,0,0,51,18114,8930,9184,1093,1163,1321,1316,780,2072,1989,2265,1226,1304,1917,1096,572,41.4,914.498,19.80758842556244
"Zapata County, Texas",14369,13542,615,0,0,179,0,0,33,14369,7177,7192,1396,1837,897,952,1228,1762,1692,1458,594,554,1077,751,171,29.6,998.412,14.39185426457214
"Hood County, Texas",56901,7026,48047,466,469,433,0,0,460,56901,28004,28897,3109,3220,3506,3474,2578,5914,5641,6942,4449,4261,7883,4531,1393,46.7,420.704,135.2518635430136
"Hopkins County, Texas",36240,6043,26657,2523,44,243,42,34,654,36240,17801,18439,2320,2452,2789,2279,2105,4356,4220,4652,2454,2135,3730,2159,589,39.5,767.2919999999998,47.23104111602885
"Ochiltree County, Texas",10348,5564,4512,18,47,16,0,0,191,10348,5230,5118,904,834,999,906,531,1465,1467,1017,632,555,618,293,127,31.6,917.685,11.27620043914851
"King County, Texas",228,38,190,0,0,0,0,0,0,228,118,110,17,15,20,15,2,23,21,23,46,13,18,15,0,46.5,910.872,0.2503095934445235
"Knox County, Texas",3733,1269,2191,213,4,5,0,0,51,3733,1853,1880,279,272,316,239,250,378,319,460,248,289,334,242,107,39.5,850.625,4.388537839823659
"McLennan County, Texas",248429,64733,139766,35575,418,3957,30,304,3646,248429,121359,127070,17541,16956,16751,20889,26258,31956,28004,27705,14318,13611,19183,10742,4515,33.2,1037.122,239.53691079737965
"Cherokee County, Texas",51903,11855,31641,7008,270,180,43,0,906,51903,26607,25296,3651,3897,3435,3731,3369,6056,6130,6506,2926,3427,5071,2665,1039,37.8,1052.955,49.29270481644515
"Concho County, Texas",4233,2372,1706,89,6,48,0,0,12,4233,2802,1431,121,188,133,575,226,502,588,643,261,241,428,225,102,41.9,983.755,4.302900620581344
"Delta County, Texas",5215,380,4232,391,16,35,0,3,158,5215,2527,2688,315,282,378,434,241,516,541,647,400,419,613,293,136,42.3,256.832,20.30510216795415
"Edwards County, Texas",2055,1194,859,0,1,0,0,0,1,2055,1062,993,120,132,63,156,89,140,163,367,122,134,334,219,16,49.3,2117.871,0.9703140559552493
"Eastland County, Texas",18270,2963,14532,550,71,119,0,0,35,18270,9245,9025,979,1149,1008,1461,1120,1767,2052,2007,1348,1272,2215,1234,658,42.4,926.505,19.719267570061685
