county_state,race_pop,race_pop_hispanic_or_latino_(of_any_race),race_pop_white_alone,race_pop_black_or_african_american_alone,race_pop_american_indian_and_alaska_native_alone,race_pop_asian_alone,race_pop_native_hawaiian_and_other_pacific_islander_alone,race_pop_some_other_race_alone,race_pop_two_or_more_races,sex_age_pop,sex_age_pop_male,sex_age_pop_female,sex_age_pop_under_5,sex_age_pop_5_to_9,sex_age_pop_10_to_14,sex_age_pop_15_to_19,sex_age_pop_20_to_24,sex_age_pop_25_to_34,sex_age_pop_35_to_44,sex_age_pop_45_to_54,sex_age_pop_55_to_59,sex_age_pop_60_to_64,sex_age_pop_65_to_74,sex_age_pop_75_to_84,sex_age_pop_85_and_over,sex_age_median_age_in_years,sq_mi,pop_density
"Jones County, Texas",19891,5447,10613,2842,30,70,0,33,856,19891,12507,7384,888,913,1075,937,1363,3666,2979,2768,1407,927,1724,934,310,38.5,928.57,21.42110987863058
"Reeves County, Texas",15125,11352,3117,312,0,228,13,38,65,15125,8689,6436,958,866,1005,1086,1137,2271,2455,1939,866,718,993,566,265,35.6,2635.3540000000007,5.739266906836803
"Sabine County, Texas",10458,455,8966,650,1,0,20,53,313,10458,5072,5386,450,556,559,569,330,978,862,1189,1051,752,1827,975,360,52.7,491.703,21.268936736200512
"Sherman County, Texas",3058,1302,1721,9,6,0,0,0,20,3058,1574,1484,190,176,208,224,168,347,443,493,158,216,231,170,34,40.4,923.036,3.3129802087892566
"Swisher County, Texas",7484,3254,3514,393,50,17,8,15,233,7484,4036,3448,477,508,542,530,368,1198,911,777,416,417,719,407,214,35.7,890.16,8.407477307450346
"Hunt County, Texas",92152,14595,66540,7297,952,1144,43,72,1509,92152,45279,46873,5804,6140,6305,6695,6266,11300,10817,12284,6545,5474,8628,4434,1460,37.8,840.34,109.6603755622724
"Camp County, Texas",12813,3159,7176,2122,52,44,0,0,260,12813,6220,6593,953,961,909,853,792,1400,1318,1696,835,795,1335,708,258,38.7,195.847,65.42351937992412
"Hansford County, Texas",5547,2618,2911,3,4,0,0,0,11,5547,2783,2764,467,363,473,436,431,658,736,544,303,273,487,270,106,34.3,919.81,6.0305932746980355
"Guadalupe County, Texas",155137,58462,78655,11140,274,2578,246,530,3252,155137,76850,78287,9910,11309,11397,11707,9540,19682,21641,21399,9868,7945,12567,6145,2027,36.7,711.252,218.11819158329257
"Clay County, Texas",10387,616,9356,59,114,60,0,0,182,10387,5195,5192,464,607,675,606,541,984,1154,1342,800,903,1340,721,250,46.2,1088.758,9.540228407047296
"Hill County, Texas",35399,7247,25039,2279,115,120,65,15,519,35399,17603,17796,2113,2362,2355,2453,1970,3855,3796,4411,2611,2253,4097,2433,690,42.1,958.855,36.91799072852517
"Nacogdoches County, Texas",65558,12565,39079,11311,182,1082,7,76,1256,65558,31365,34193,4385,4600,3913,6473,8712,7719,6618,6766,4056,3324,5203,2769,1020,30.6,946.557,69.2594318144602
"Parmer County, Texas",9852,6201,3401,107,29,25,0,0,89,9852,5059,4793,760,758,900,737,649,1320,1130,1201,524,597,730,412,134,33.9,880.82,11.18503212915238
"Presidio County, Texas",7123,5956,987,0,0,180,0,0,0,7123,3497,3626,506,533,575,650,257,545,891,846,346,378,864,617,115,41.8,3855.252,1.847609442910606
"Val Verde County, Texas",49027,40086,7612,611,64,285,31,0,338,49027,24925,24102,4192,3547,4027,3771,4126,7022,5701,5386,1863,2498,3825,2019,1050,31.7,3144.75,15.5901105016297
"Ector County, Texas",158342,94453,52830,6704,339,1692,50,325,1949,158342,80249,78093,14526,13298,12743,11485,12562,26131,19808,17110,8353,7355,8654,4463,1854,30.3,897.811,176.36451324387872
"Glasscock County, Texas",1430,626,804,0,0,0,0,0,0,1430,787,643,68,69,127,132,158,122,229,134,68,150,87,69,17,36.0,900.2180000000002,1.5885041178914436
"Grimes County, Texas",27630,6616,16163,4165,90,45,0,15,536,27630,14892,12738,1534,1604,1975,1843,1701,3173,3608,3669,1951,2018,2901,1153,500,40.3,787.467,35.087184605831105
"Collin County, Texas",944350,143369,547403,88702,3132,135508,582,2691,22963,944350,464248,480102,59858,69836,76360,67986,53580,120753,151930,143663,56656,45688,62711,26801,8528,36.6,841.2760000000002,1122.521027581911
"Angelina County, Texas",87607,19174,53216,12834,107,987,5,163,1121,87607,42659,44948,6011,6477,6320,6025,5531,11212,10568,11220,5567,5049,7768,3918,1941,37.2,797.7819999999998,109.81320711673116
"Cottle County, Texas",1623,382,867,243,5,0,0,89,37,1623,792,831,166,137,158,98,31,180,79,229,116,79,209,102,39,37.9,900.564,1.802203952189961
"Hays County, Texas",204150,78334,111288,7421,416,2806,78,423,3384,204150,101636,102514,12742,13582,13391,17308,25542,28878,26754,23560,11592,9516,13864,5782,1639,31.6,677.987,301.11196822357954
"Lipscomb County, Texas",3469,1051,2252,18,69,9,0,0,70,3469,1840,1629,268,305,203,248,170,553,316,399,248,229,262,181,87,34.9,932.186,3.721360329376326
"Matagorda County, Texas",36743,15441,16330,3587,98,710,53,0,524,36743,18319,18424,2579,2556,2764,2339,2361,4636,4015,4498,2328,2767,3214,1752,934,37.8,1092.896,33.619850379176064
"Pecos County, Texas",15797,10837,4040,567,164,74,17,17,81,15797,9010,6787,1102,1289,902,918,1006,2485,2267,2056,1031,743,1100,636,262,35.9,4763.835,3.3160258489221395
"Rockwall County, Texas",93642,16206,67046,5670,224,2300,0,57,2139,93642,46167,47475,5826,6996,8035,7237,4966,10679,14190,13418,6475,4729,6828,3092,1171,37.6,127.11,736.7004956337031
"Rusk County, Texas",53595,8855,34324,9131,78,301,22,31,853,53595,28379,25216,3167,3705,3292,3594,3263,7115,6993,6959,3744,3153,4874,2787,949,38.5,924.037,58.00092420541601
"Throckmorton County, Texas",1567,235,1292,16,0,0,0,0,24,1567,694,873,84,49,82,128,98,175,117,213,101,130,207,142,41,46.6,912.552,1.717162419237479
"Walker County, Texas",71539,12787,40510,16393,256,911,10,16,656,71539,41642,29897,3120,3108,2959,5491,10647,10015,9805,9702,4367,3608,5197,2269,1251,35.4,784.222,91.22289351739686
"Wood County, Texas",43815,4313,36273,2335,277,133,37,34,413,43815,21807,22008,2138,2208,2656,2751,2115,4129,4211,5300,3464,3073,6759,3661,1350,48.2,645.245,67.90443939898798
"Aransas County, Texas",24763,6756,16691,365,14,488,0,33,416,24763,12026,12737,1207,1244,1379,1351,1446,2010,2483,3240,1820,2002,3829,2119,633,49.6,252.049,98.24676947736353
"Childress County, Texas",7226,2241,4172,552,69,96,0,0,96,7226,4449,2777,345,384,409,394,736,1813,878,601,316,395,436,383,136,30.9,696.5110000000002,10.374566948691403
"Coke County, Texas",3275,698,2475,20,44,6,0,0,32,3275,1606,1669,103,125,279,209,92,212,426,465,255,217,492,304,96,50.3,911.635,3.5924465383623927
"Coryell County, Texas",75389,13631,44478,9991,472,1476,569,0,4772,75389,37630,37759,5353,4750,5146,4458,8425,14423,10877,8429,3643,2872,4224,1970,819,31.5,1052.1989999999996,71.64899415414767
"Hemphill County, Texas",4061,1455,2502,34,15,24,0,0,31,4061,1965,2096,260,356,473,370,162,391,609,443,257,200,326,148,66,35.2,906.286,4.480925447375332
"Moore County, Texas",21801,11973,7174,627,97,1713,0,0,217,21801,11438,10363,1950,1974,1980,1699,1682,2953,2666,2415,1179,1039,1394,568,302,30.2,899.698,24.23146433581046
"Navarro County, Texas",48583,13013,27526,6124,169,309,539,88,815,48583,23845,24738,3492,3280,3829,3489,2814,5587,5639,6170,3384,2815,4566,2518,1000,38.6,1009.632,48.11951285220754
"San Augustine County, Texas",8327,583,5741,1760,111,0,0,0,132,8327,4085,4242,394,364,585,602,258,815,714,1154,714,593,1230,677,227,49.4,530.6569999999998,15.69186875891584
"Shackelford County, Texas",3311,385,2830,6,10,7,0,0,73,3311,1770,1541,207,248,167,336,108,380,297,453,354,152,330,211,68,43.0,914.286,3.621405118310901
"Starr County, Texas",63894,63299,465,21,7,69,0,12,21,63894,31073,32821,6460,5426,5856,5551,5256,8313,7619,6989,2756,2535,4001,2305,827,28.7,1223.179,52.23601778644009
"Upton County, Texas",3634,1837,1525,237,5,25,0,5,0,3634,1843,1791,341,239,317,264,162,418,456,447,248,196,307,179,60,37.2,1241.323,2.9275216845253005
"Bastrop County, Texas",82577,30389,43757,6097,358,704,0,434,838,82577,42014,40563,5457,5301,6600,5916,4875,9376,10342,11192,5920,5873,7595,2948,1182,38.6,888.178,92.97348054106271
"Hall County, Texas",3074,1057,1729,239,3,9,0,0,37,3074,1546,1528,124,152,295,275,144,251,330,371,173,250,377,243,89,43.5,883.492,3.4793750254671236
"Franklin County, Texas",10679,1515,8460,408,22,5,8,0,261,10679,5362,5317,587,672,840,794,526,1066,1129,1322,789,733,1283,755,183,43.0,284.391,37.550414745895615
"Frio County, Texas",19394,15279,3035,757,9,172,0,23,119,19394,11580,7814,1166,1182,1174,1763,2021,3553,2385,2094,775,900,1356,841,184,31.4,1133.501,17.109821694025854
"Lampasas County, Texas",20640,4025,14980,903,25,208,63,78,358,20640,10187,10453,1136,1114,1510,1497,967,2185,2601,2851,1434,1582,2294,1070,399,42.2,712.841,28.954563500135375
"Mason County, Texas",4161,978,3029,1,12,92,0,0,49,4161,2146,2015,213,124,297,351,200,316,445,533,318,320,643,331,70,46.9,928.836,4.479800524527473
"Dickens County, Texas",2216,673,1463,68,0,12,0,0,0,2216,1143,1073,109,103,173,146,82,200,323,246,128,193,276,204,33,43.9,901.724,2.457514716254641
"Tarrant County, Texas",2019977,576242,958302,319829,5797,106427,3474,3976,45930,2019977,988765,1031212,144494,151834,154147,143146,135990,300991,277505,269412,121880,103987,132708,60433,23450,34.3,863.6460000000002,2338.8946397019145
"Anderson County, Texas",57863,10142,34312,12127,158,319,9,15,781,57863,35412,22451,2991,2985,3276,3040,3562,8821,9905,8259,3227,3598,4859,2481,859,39.1,1062.63,54.45263167800645
"Jackson County, Texas",14820,4873,8717,947,0,134,8,0,141,14820,7226,7594,1053,1104,1038,895,890,1638,1995,1693,1124,899,1309,788,394,38.5,829.443,17.867412227241655
"Milam County, Texas",24664,6459,15426,2093,28,121,0,12,525,24664,12343,12321,1548,1579,1706,1897,1388,2762,2322,3165,1590,1845,2839,1402,621,41.3,1016.915,24.25374785503213
"Comanche County, Texas",13495,3729,9438,87,54,74,0,1,112,13495,6738,6757,762,809,900,1012,572,1278,1438,1646,837,980,1826,1088,347,44.8,937.753,14.39078307400776
"Brooks County, Texas",7180,6741,400,4,0,0,0,0,35,7180,3724,3456,501,494,503,561,978,831,801,747,302,349,649,412,52,32.7,943.355,7.611132606494904
"Titus County, Texas",32730,14015,14871,2953,84,333,0,40,434,32730,16046,16684,2534,2832,2593,2528,2359,4047,3877,3994,1750,1738,2598,1382,498,33.8,406.057,80.6044471588964
"Liberty County, Texas",81862,19098,52825,8062,311,500,8,37,1021,81862,40439,41423,5715,5789,5927,5526,5518,11704,10271,10863,5591,4421,6603,3154,780,35.7,1158.385,70.66907806989904
"Wise County, Texas",64639,12300,49868,759,258,281,114,2,1057,64639,32424,32215,4302,4380,4564,4366,3784,8020,7761,9171,4731,4058,5997,2504,1001,38.4,904.394,71.4721681037247
"Jim Wells County, Texas",41192,33060,7432,254,28,253,63,20,82,41192,20178,21014,3041,3107,3521,3174,2596,5304,5092,4722,2210,2414,3425,1980,606,34.8,865.17,47.61145208456142
"Dimmit County, Texas",10663,9244,1008,5,0,402,0,0,4,10663,5186,5477,1015,746,981,864,523,1344,1457,923,435,641,927,515,292,33.7,1328.885,8.024020137182676
"Fort Bend County, Texas",739342,179653,249314,149334,1652,146020,141,1583,11645,739342,363177,376165,51655,58222,59504,54665,43098,91278,113334,104353,47261,41118,49623,18833,6398,36.0,861.582,858.1214556478664
"Irion County, Texas",1524,374,1086,54,0,0,0,0,10,1524,836,688,60,102,141,127,87,122,140,214,104,138,145,94,50,44.1,1051.544,1.4492974140882358
"Cooke County, Texas",39571,7043,29979,967,221,357,17,40,947,39571,19660,19911,2677,2627,2440,2643,2550,4818,4226,4932,2641,2973,4111,2154,779,40.4,874.81,45.23382220139231
"Dawson County, Texas",12964,7402,4630,763,56,6,0,0,107,12964,7235,5729,852,740,1067,743,1285,2157,1630,1333,708,601,977,610,261,33.0,900.306,14.39954859792115
"Burleson County, Texas",17863,3657,11617,2240,52,40,0,8,249,17863,8977,8886,1092,1152,1009,1174,1040,1986,2000,2102,1281,1399,2103,1120,405,42.6,659.034,27.10482311989973
"Jefferson County, Texas",255210,51461,104869,85589,428,9401,114,251,3097,255210,130660,124550,17595,17385,16171,16490,18238,37482,32341,32075,17101,14877,19797,11079,4579,36.0,876.372,291.2119510892635
"Oldham County, Texas",2090,353,1559,100,1,10,0,0,67,2090,1145,945,117,137,310,258,118,175,220,188,145,128,195,74,25,29.8,1500.523,1.392847693770772
"El Paso County, Texas",837654,690189,102112,25430,2213,9163,1022,425,7100,837654,411682,425972,65182,61152,66845,64636,71442,123364,104799,97217,46419,39134,54577,30595,12292,32.0,1013.186,826.7524422958865
"Terrell County, Texas",862,548,265,23,2,0,0,0,24,862,429,433,8,57,32,16,32,73,128,118,48,77,151,79,43,51.9,2358.0170000000007,0.36556140180499114
"Uvalde County, Texas",27009,19247,7223,86,107,271,0,5,70,27009,13083,13926,2006,2037,2012,2176,1954,3511,3090,2859,1267,1562,2560,1630,345,33.9,1551.921,17.403592064286777
"Archer County, Texas",8789,727,7772,76,27,47,0,0,140,8789,4326,4463,430,448,638,563,529,881,976,1282,656,692,908,589,197,44.5,903.289,9.729997819081158
"Hidalgo County, Texas",849389,781681,54299,3619,614,7779,118,254,1025,849389,415443,433946,80050,76370,79880,73722,66114,113177,109326,91054,36396,33050,50543,29323,10384,29.1,1570.899,540.7024894662229
"Somervell County, Texas",8743,1648,6911,54,27,35,60,6,2,8743,4192,4551,504,380,771,415,701,1020,956,1163,624,634,950,403,222,40.9,186.46400000000003,46.88840741376351
"Haskell County, Texas",5809,1665,3758,192,33,44,0,7,110,5809,3071,2738,243,331,322,366,429,709,740,661,228,519,678,371,212,42.4,903.133,6.432053750665737
"Mills County, Texas",4902,968,3901,10,10,5,0,0,8,4902,2329,2573,177,314,451,382,167,319,366,592,393,328,711,476,226,50.6,748.215,6.5515927908422045
"Newton County, Texas",14057,497,10335,2771,21,166,0,0,267,14057,7233,6824,679,640,898,1416,716,1191,1752,2005,845,1157,1613,872,273,44.3,933.677,15.05552776816822
"Kimble County, Texas",4408,1114,3193,1,17,0,0,16,67,4408,2154,2254,270,203,203,332,160,247,432,440,360,488,701,399,173,52.9,1250.985,3.523623384772799
"Van Zandt County, Texas",54368,5741,45714,1423,298,268,39,0,885,54368,26619,27749,3030,3341,3852,3741,2836,5606,6153,7182,3684,4005,6347,3620,971,42.9,842.566,64.52669583154317
"Martin County, Texas",5614,2574,2978,48,8,4,2,0,0,5614,2934,2680,468,467,545,443,401,641,606,854,311,223,378,235,42,32.2,914.956,6.135814181228387
"Yoakum County, Texas",8571,5643,2763,25,11,5,0,29,95,8571,4438,4133,783,964,668,468,678,1229,1017,863,621,309,589,318,64,31.2,799.715,10.717568133647612
"Red River County, Texas",12275,902,8982,2080,28,6,0,0,277,12275,5986,6289,518,547,911,818,677,1173,1424,1473,1032,799,1667,917,319,45.6,1043.876,11.759059505151953
"Sutton County, Texas",3865,2385,1470,3,0,0,0,0,7,3865,2116,1749,253,299,255,167,232,575,486,373,334,238,405,141,107,38.4,1453.935,2.658303156606038
"Upshur County, Texas",40769,3423,32817,3368,294,239,0,199,429,40769,20224,20545,2548,2901,2728,2726,2278,4367,4722,5383,3256,2762,4092,2359,647,40.9,582.98,69.93207314144567
"Wharton County, Texas",41551,16983,18643,5747,27,64,0,8,79,41551,20395,21156,2827,2904,3245,3010,2643,5060,4611,5087,3087,2310,3729,2131,907,37.2,1086.151,38.255270215651414
"Borden County, Texas",665,56,595,0,0,0,0,0,14,665,346,319,90,17,30,42,23,90,61,58,43,38,105,49,19,42.5,897.443,0.7409941355606986
"Marion County, Texas",10083,406,7142,2361,43,0,38,0,93,10083,4915,5168,435,536,554,606,379,911,1016,1367,851,884,1500,896,148,50.1,380.884,26.472626836517154
"Grayson County, Texas",128560,16817,97457,6842,1534,1805,66,201,3838,128560,62737,65823,8066,8267,9100,8466,7771,15528,15026,16509,9361,8176,13191,6592,2507,39.9,932.831,137.8170322384226
"Palo Pinto County, Texas",28317,5625,21299,628,161,217,37,19,331,28317,13987,14330,1726,2011,1744,1969,1562,3300,2985,3629,1813,2159,3122,1735,562,40.5,952.549,29.72760456417465
"DeWitt County, Texas",20435,7132,11271,1865,7,1,0,0,159,20435,10577,9858,1302,1378,1134,1190,879,2446,2839,2488,1412,1437,2101,1293,536,40.9,908.976,22.481341641583498
"Callahan County, Texas",13770,1300,11900,66,11,39,0,0,454,13770,6763,7007,733,799,1118,848,635,1520,1474,1825,1035,1032,1565,927,259,42.9,899.372,15.310683454677264
"Gregg County, Texas",123494,22916,71387,24767,377,1641,121,144,2141,123494,60208,63286,9322,9310,8434,8245,8595,17098,14731,14571,8105,6878,10055,5425,2725,35.4,273.38,451.7301924061746
"Lubbock County, Texas",301454,105514,162667,20528,1067,6328,182,223,4945,301454,148631,152823,20437,19739,20780,25447,37594,44283,34465,31396,16549,14674,20375,11331,4384,30.7,895.6039999999998,336.59295849504923
"Kaufman County, Texas",118910,24531,77641,12799,468,1410,46,232,1783,118910,58360,60550,8545,8799,9932,8701,6654,15677,16626,15891,7933,6116,8585,4244,1207,35.6,780.675,152.31690524225831
"Floyd County, Texas",5872,3429,2184,164,8,10,0,0,77,5872,2885,2987,381,386,517,407,358,681,733,583,383,346,573,366,158,36.9,992.143,5.918501667602351
"Chambers County, Texas",40292,8793,27186,3158,85,506,0,0,564,40292,20377,19915,2794,3250,3140,3022,2524,5286,5489,5660,2550,2169,2831,1201,376,35.4,597.153,67.47349506742827
"Bell County, Texas",342236,83630,158804,72677,1066,9767,2156,286,13850,342236,170918,171318,29639,26525,24832,23615,30780,58312,43827,37066,17650,14791,21108,9933,4158,30.8,1051.289,325.53940923951455
"Hutchinson County, Texas",21571,4959,15250,474,313,82,122,4,367,21571,10797,10774,1424,1718,1444,1501,1343,2634,2713,2477,1415,1515,1902,1151,334,37.3,887.42,24.307543215163058
"Orange County, Texas",84047,6165,68118,7090,277,1007,0,37,1353,84047,41630,42417,5725,5807,5808,5345,5299,10653,10243,11068,5970,5223,7443,4066,1397,37.8,333.781,251.80282880092037
"Winkler County, Texas",7802,4689,2811,159,78,0,0,0,65,7802,3977,3825,649,714,646,698,548,944,975,942,441,356,472,294,123,32.5,841.2689999999999,9.27408474578286
"Burnet County, Texas",45750,10120,33745,831,292,383,0,0,379,45750,22642,23108,2423,2502,3042,2908,2760,4428,5283,5471,3465,3529,5930,3054,955,44.2,994.265,46.01388965718395
"Dallas County, Texas",2586552,1033000,765816,572790,5243,158780,1125,4484,45314,2586552,1275226,1311326,195852,194682,188069,175401,183838,421527,359293,327994,149682,126422,160112,73856,29824,33.3,872.056,2966.0388782371774
"McMullen County, Texas",662,332,326,0,4,0,0,0,0,662,387,275,45,54,56,19,24,82,125,35,58,27,75,42,20,40.2,1139.799,0.5808041593298467
"Johnson County, Texas",163475,34048,119128,4982,644,1400,607,79,2587,163475,81568,81907,10772,12070,12313,11668,10001,20689,21405,21985,11444,8798,13666,6700,1964,36.8,724.8,225.54497792494482
"Hartley County, Texas",5767,1524,3390,492,2,85,0,37,237,5767,3411,2356,311,325,389,235,172,1115,1031,745,359,258,446,320,61,39.1,1461.951,3.9447286536963277
"Limestone County, Texas",23515,5101,13816,4058,90,177,63,60,150,23515,12056,11459,1508,1359,1544,1614,1391,2907,2780,2869,1560,1700,2541,1307,435,40.0,905.43,25.97108556155639
"Parker County, Texas",129802,15562,108865,1762,523,644,61,147,2238,129802,64448,65354,7993,9003,9467,8811,7444,14842,16093,18625,9861,8124,12182,5508,1849,39.7,903.482,143.66860656880823
"Culberson County, Texas",2241,1646,534,3,0,12,0,0,46,2241,1231,1010,195,156,110,109,90,374,173,294,199,113,217,140,71,43.0,3812.156,0.5878563206752294
"Garza County, Texas",6288,3272,2562,267,23,137,0,7,20,6288,4070,2218,269,238,274,394,516,1075,1172,887,402,280,408,304,69,39.0,893.414,7.038170433863808
"Travis County, Texas",1203166,407676,590373,94922,1963,78250,368,2122,27492,1203166,607356,595810,78751,75966,73312,72912,82452,241541,190102,152905,67198,57677,70442,27992,11916,33.9,991.849,1213.0535998927255
"Collingsworth County, Texas",2996,834,1878,195,68,0,0,0,21,2996,1496,1500,185,191,245,171,201,321,383,351,233,173,313,124,105,39.2,918.441,3.2620494947416327
"Lamb County, Texas",13262,7325,5252,442,33,72,0,0,138,13262,6710,6552,970,1059,1071,934,877,1571,1448,1536,918,734,1050,777,317,36.0,1016.181,13.050824607033588
"Loving County, Texas",102,16,83,0,3,0,0,0,0,102,58,44,19,5,0,0,3,11,11,0,14,14,22,3,0,55.4,668.818,0.1525078571449931
"Robertson County, Texas",16890,3481,9728,3276,35,49,22,11,288,16890,8296,8594,979,1165,1236,1032,1077,1752,1856,2299,1117,1177,1911,864,425,40.9,855.1080000000002,19.751890989208377
"Taylor County, Texas",136348,32869,87125,10287,722,2909,75,289,2072,136348,66718,69630,10062,9235,9205,10384,14403,19990,14949,14123,7568,7274,10310,6185,2660,32.3,915.536,148.92696737211864
"Trinity County, Texas",14569,1420,11451,1318,48,147,0,0,185,14569,7011,7558,672,953,858,818,588,1344,1426,1816,934,1282,2172,1347,359,48.7,693.797,20.998937729624082
"Bandera County, Texas",21763,4010,17032,172,88,59,0,17,385,21763,11032,10731,864,880,1252,1033,1056,1924,2087,2925,1873,2236,3472,1713,448,52.1,790.995,27.513448251885283
"Cochran County, Texas",2904,1684,1068,96,0,0,0,0,56,2904,1491,1413,215,247,208,242,124,447,346,277,205,153,222,188,30,34.5,775.082,3.746700349124351
"Comal County, Texas",135097,36612,91969,2544,97,1403,45,140,2287,135097,66793,68304,7855,8111,9355,8623,7284,14986,16199,18761,9448,10508,14757,6482,2728,42.0,559.512,241.45505368964385
"Houston County, Texas",22955,2511,14185,5676,49,72,0,9,453,22955,12432,10523,1181,1372,1161,1224,1325,2412,3021,3182,1669,1574,2605,1543,686,44.0,1231.005,18.647365364072442
"Potter County, Texas",120899,45905,53755,11591,392,6494,96,88,2578,120899,62295,58604,9808,10053,8534,7885,8309,18388,15720,14471,7563,5757,8259,4214,1938,33.8,908.39,133.0915135569524
"Scurry County, Texas",17239,6917,9158,837,13,49,0,35,230,17239,9425,7814,1181,1033,1439,1285,1063,2295,2398,1941,1091,921,1370,863,359,36.1,905.445,19.0392569399577
"Stonewall County, Texas",1385,256,1075,48,0,0,0,0,6,1385,730,655,63,73,137,108,15,106,79,179,131,121,223,119,31,52.0,916.313,1.511492252101629
"Brown County, Texas",37834,8299,27253,1340,140,281,0,0,521,37834,18774,19060,2053,2158,2724,2768,2409,4417,4208,4717,2801,2343,4129,2309,798,41.3,944.452,40.0592089380932
"Bee County, Texas",32691,19152,10392,2535,186,141,4,13,268,32691,19911,12780,1924,1870,1998,1938,2720,5676,4790,4387,2031,1478,2223,1157,499,35.4,880.2389999999998,37.13877708213338
"Crane County, Texas",4839,3080,1548,189,3,19,0,0,0,4839,2511,2328,381,381,473,479,239,639,574,569,317,206,330,196,55,32.4,785.069,6.163789424878578
"McCulloch County, Texas",8098,2587,4945,148,2,16,0,251,149,8098,4260,3838,536,457,532,436,422,825,898,1080,539,584,1059,491,239,44.6,1065.601,7.599467342842208
"Lee County, Texas",16952,3970,10773,1889,0,165,0,26,129,16952,8558,8394,913,1169,938,1406,954,1669,2124,2162,1207,1304,1724,1017,365,41.5,629.04,26.949001653312987
"Ellis County, Texas",168838,43737,104141,15820,336,1104,46,159,3495,168838,83184,85654,11392,12826,13120,12711,10718,21434,22272,22939,11317,9272,12940,6149,1748,36.1,935.66,180.44802599234765
"Kerr County, Texas",51365,13702,35484,759,117,473,32,114,684,51365,24886,26479,2627,2593,2945,3036,3013,5313,4702,5826,3675,3816,7327,4509,1983,47.7,1103.326,46.55469009159577
"Falls County, Texas",17299,3987,8878,4153,57,73,7,0,144,17299,8189,9110,1042,1022,1058,967,1175,2466,1914,2421,1238,1013,1600,904,479,39.3,765.465,22.599335044711385
